,Symbols,Open,Low,Close,High,Volume
0,ANA,94.4000015258789,93.44999694824219,93.80000305175781,94.4000015258789,36596.0
1,ACX,9.949999809265137,9.920000076293945,10.045000076293945,10.045000076293945,240375.0
2,ACS,35.06999969482422,35.02000045776367,35.650001525878906,35.79999923706055,396662.0
3,AENA,171.0500030517578,170.5,170.5,172.75,73393.0
4,AMS,72.69999694824219,72.19999694824219,72.80000305175781,73.30000305175781,148692.0
5,MTS,15.600000381469727,15.510000228881836,15.619999885559082,15.649999618530273,220308.0
6,SAB,1.0384999513626099,1.034000039100647,1.0399999618530273,1.0460000038146973,5437795.0
7,SAN,3.7200000286102295,3.685499906539917,3.7300000190734863,3.742500066757202,19491991.0
8,BKIA,1.8899999856948853,1.8849999904632568,1.902500033378601,1.902500033378601,2016010.0
9,BKT,6.550000190734863,6.519999980926514,6.5320000648498535,6.572000026702881,564270.0
10,BBVA,4.994999885559082,4.953000068664551,4.982999801635742,5.004000186920166,5624533.0
11,CABK,2.7850000858306885,2.763000011444092,2.7980000972747803,2.7980000972747803,8844742.0
12,CLNX,38.47999954223633,37.84000015258789,38.369998931884766,38.869998931884766,221575.0
13,CIE,21.18000030517578,21.0,21.079999923706055,21.3799991607666,67281.0
14,ENG,23.040000915527344,22.690000534057617,22.739999771118164,23.110000610351562,504112.0
15,ENC,3.6679999828338623,3.611999988555908,3.6700000762939453,3.7179999351501465,731818.0
16,ELE,24.200000762939453,23.729999542236328,23.790000915527344,24.200000762939453,676458.0
17,FER,26.549999237060547,26.5,26.969999313354492,26.969999313354492,1125539.0
18,GRF,31.600000381469727,31.290000915527344,31.43000030517578,31.639999389648438,198479.0
19,IAG,7.300000190734863,7.182000160217285,7.21999979019165,7.361999988555908,877608.0
20,IBE,9.215999603271484,9.173999786376953,9.180000305175781,9.25,6724758.0
21,ITX,31.520000457763672,31.15999984741211,31.450000762939453,31.709999084472656,726006.0
22,IDR,10.100000381469727,10.079999923706055,10.180000305175781,10.25,150119.0
23,COL,11.199999809265137,11.1899995803833,11.359999656677246,11.449999809265137,198963.0
24,MAP,2.381999969482422,2.359999895095825,2.359999895095825,2.4019999504089355,1876403.0
25,TL5,5.519999980926514,5.504000186920166,5.659999847412109,5.659999847412109,292443.0
26,MEL,7.889999866485596,7.849999904632568,7.860000133514404,7.974999904632568,105154.0
27,MRL,12.649999618530273,12.5600004196167,12.789999961853027,12.789999961853027,199986.0
28,NTGY,22.610000610351562,22.399999618530273,22.399999618530273,22.709999084472656,742966.0
29,REE,18.114999771118164,17.860000610351562,17.924999237060547,18.114999771118164,411070.0
30,REP,14.100000381469727,13.930000305175781,13.930000305175781,14.100000381469727,2221149.0
31,SGRE,15.5,15.5,15.635000228881836,15.694999694824219,441154.0
32,TRE,23.399999618530273,23.299999237060547,23.799999237060547,23.799999237060547,107676.0
33,TEF,6.293000221252441,6.199999809265137,6.2270002365112305,6.300000190734863,7967845.0
34,VIS,47.900001525878906,47.099998474121094,47.099998474121094,47.900001525878906,19412.0
